School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Fresno County Office Of Education School District,"Fresno, CA","$189,000 ","$249,000 ",76%,96.97%,48,51,94%,-3,3.7
Fresno Unified School District,"Fresno, CA","$189,000 ","$249,000 ",76%,96.97%,48,51,94%,-3,3.6
Denton Isd School District,"Denton, TX","$268,000 ","$354,000 ",76%,91.78%,37,38,97%,-1,6.9
Green Bay Area Public School District,"Brown, WI","$140,000 ","$185,000 ",76%,80.00%,47,48,98%,-1,4.2
Ticonderoga Central School District,"Essex, NY","$147,000 ","$195,000 ",76%,94.44%,216,264,82%,-48,5.3
Clearfield Area School District,"Clearfield, PA","$95,000 ","$125,000 ",76%,132.35%,118,104,113%,14,5
Pennsauken Township School District,"Camden, NJ","$143,000 ","$189,000 ",76%,66.67%,76,79,96%,-3,2.5
Wheelerville Union Free School District,"Fulton, NY","$130,000 ","$172,000 ",76%,73.33%,95,94,101%,1,4.1
Bakersfield City School District,"Kern, CA","$170,000 ","$225,000 ",76%,74.07%,61,58,105%,3,4.3
Rsu 24 School District,"Hancock, ME","$249,000 ","$330,000 ",75%,76.19%,199,226,88%,-27,5.3
Greenwood Community School Corporation,"Johnson, IN","$137,000 ","$182,000 ",75%,111.11%,47,43,108%,4,8
Jefferson School Department School District,"Lincoln, ME","$215,000 ","$285,000 ",75%,72.73%,117,86,136%,31,7
Franklin School District,"Norfolk, MA","$415,000 ","$550,000 ",75%,160.38%,38,45,84%,-7,8.7
Centralia Elementary School District,"Orange, CA","$550,000 ","$730,000 ",75%,113.04%,38,42,90%,-4,7.1
Chula Vista Elementary School District,"San Diego, CA","$520,000 ","$690,000 ",75%,114.52%,26,37,70%,-11,7.4
Vista Unified School District,"San Diego, CA","$520,000 ","$690,000 ",75%,117.74%,27,37,73%,-10,5.4
Chsd 117 School District,"Lake, IL","$245,000 ","$325,000 ",75%,117.74%,56,57,98%,-1,7.3
Grossmont Union High School District,"San Diego, CA","$520,000 ","$690,000 ",75%,95.16%,32,37,86%,-5,6.6
Bellaire Public School District,"Antrim, MI","$150,000 ","$199,000 ",75%,82.35%,95,95,100%,0,7
Post Falls District School District,"Kootenai, ID","$255,000 ","$339,000 ",75%,100.00%,51,60,86%,-9,7
Cudahy School District,"Milwaukee, WI","$128,000 ","$170,000 ",75%,70.59%,54,45,120%,9,4.6
Gilroy Unified School District,"Santa Clara, CA","$715,000 ","$950,000 ",75%,137.50%,39,32,120%,7,6.2
Somerton Elementary District School District,"Yuma, AZ","$143,000 ","$190,000 ",75%,91.67%,59,89,66%,-30,4
Ralph C Mahar School District,"Franklin, MA","$180,000 ","$240,000 ",75%,120.00%,56,66,85%,-10,4.2
York 01 School District,"York, SC","$200,000 ","$266,000 ",75%,61.22%,75,57,132%,18,6.5
Laporte Community School Corporation,"La Porte, IN","$135,000 ","$179,000 ",75%,106.90%,57,69,83%,-12,6.4
Shawnee Mission Pub School,"Johnson, KS","$258,000 ","$343,000 ",75%,122.54%,33,38,87%,-5,6.4
Hicksville Union Free School District,"Nassau, NY","$450,000 ","$599,000 ",75%,140.00%,47,66,71%,-19,5.1
Minersville Area School District,"Schuylkill, PA","$57,000 ","$76,000 ",75%,105.00%,85,95,89%,-10,4.5
West Deptford Township School District,"Gloucester, NJ","$167,000 ","$222,000 ",75%,82.50%,76,82,93%,-6,5
Bensalem Township School District,"Bucks, PA","$255,000 ","$340,000 ",75%,104.08%,56,68,82%,-12,4.9
Oakley Union Elementary School District,"Contra Costa, CA","$405,000 ","$540,000 ",75%,107.00%,32,34,94%,-2,5.9
Buena Regional School District,"Atlantic, NJ","$150,000 ","$200,000 ",75%,90.48%,84,103,82%,-19,3
Quakertown Community School District,"Bucks, PA","$255,000 ","$340,000 ",75%,62.24%,75,68,110%,7,8.2
Hyde Park Central School District,"Dutchess, NY","$225,000 ","$300,000 ",75%,100.00%,84,83,101%,1,5.1
East Bridgewater School District,"Plymouth, MA","$300,000 ","$400,000 ",75%,144.90%,45,51,88%,-6,7.3
Galway Central School District,"Saratoga, NY","$225,000 ","$300,000 ",75%,146.67%,97,78,124%,19,5.5
Ambridge Area School District,"Beaver, PA","$105,000 ","$140,000 ",75%,71.43%,74,77,97%,-3,4.1
Girard City School District,"Trumbull, OH","$60,000 ","$80,000 ",75%,76.92%,62,76,82%,-14,8.5
Hartford School District,"Windsor, VT","$209,000 ","$279,000 ",75%,128.57%,80,160,50%,-80,6
Derry School District,"Rockingham, NH","$279,000 ","$372,000 ",75%,111.54%,43,53,82%,-10,5
Mission Cisd School District,"Hidalgo, TX","$142,000 ","$190,000 ",75%,95.45%,121,112,108%,9,4.8
Evans-Brant Central School District (Lake Shore) School District,"Erie, NY","$120,000 ","$160,000 ",75%,47.00%,71,41,172%,30,6
Harlem Ud 122 School District,"Winnebago, IL","$97,000 ","$129,000 ",75%,112.07%,53,56,95%,-3,5.2
Erlanger-Elsmere Independent School District,"Kenton, KY","$116,000 ","$155,000 ",75%,102.00%,52,57,91%,-5,5.1
Johnson City Central School District,"Broome, NY","$80,000 ","$107,000 ",75%,94.74%,69,79,87%,-10,5.3
Iron Mountain Public School District,"Dickinson, MI","$70,000 ","$93,000 ",75%,90.48%,94,88,106%,6,6.5
Yakima School District,"Yakima, WA","$160,000 ","$214,000 ",75%,90.24%,51,53,97%,-2,3.7
Mesabi East School District,"St. Louis, MN","$119,000 ","$159,000 ",75%,45.00%,93,62,149%,31,5
Garden Grove Unified School District,"Orange, CA","$545,000 ","$729,000 ",75%,84.78%,38,42,90%,-4,6.5
Santa Rita Union Elementary School District,"Monterey, CA","$402,000 ","$539,000 ",75%,81.37%,50,56,90%,-6,4.6
Jarrell Isd School District,"Williamson, TX","$239,000 ","$320,000 ",75%,96.15%,31,38,82%,-7,5.7
Steilacoom Hist. School District,"Pierce, WA","$265,000 ","$355,000 ",75%,111.29%,48,33,145%,15,7
East Side Union High School District,"Santa Clara, CA","$709,000 ","$950,000 ",75%,90.62%,31,32,97%,-1,6.3
Topeka Public School District,"Shawnee, KS","$87,000 ","$116,000 ",75%,79.59%,44,44,100%,0,2.6
Fillmore Unified School District,"Ventura, CA","$447,000 ","$599,000 ",75%,110.20%,48,47,102%,1,6
Delanco Township School District,"Burlington, NJ","$179,000 ","$240,000 ",75%,51.43%,73,74,99%,-1,4
Malvern School District,"Hot Spring, AR","$86,000 ","$115,000 ",75%,102.63%,116,119,98%,-3,4.3
Cliffside Park School District,"Bergen, NJ","$454,000 ","$609,000 ",75%,63.16%,63,61,103%,2,3.1
Victor Elementary School District,"San Bernardino, CA","$220,000 ","$295,000 ",75%,66.67%,53,53,100%,0,3.2
Ironwood Area Schools Of Gogebic County,"Gogebic, MI","$64,000 ","$86,000 ",75%,118.18%,74,103,72%,-29,6.5
Jefferson City School District,"Jackson, GA","$215,000 ","$288,000 ",75%,150.00%,43,59,73%,-16,9
Eldon R-I School District,"Miller, MO","$106,000 ","$143,000 ",74%,101.92%,111,101,110%,10,5.8
Iroquois School District,"Erie, PA","$93,000 ","$125,000 ",74%,75.86%,48,49,99%,-1,5.5
West Irondequoit Central School District,"Monroe, NY","$125,000 ","$168,000 ",74%,120.00%,31,39,79%,-8,7
Gresham-Barlow Sd 10J School District,"Multnomah, OR","$320,000 ","$430,000 ",74%,108.70%,21,24,88%,-3,5
Bayonne School District,"Hudson, NJ","$275,000 ","$370,000 ",74%,80.77%,66,57,116%,9,4
New York City Geographic District #21 School District,"Kings, NY","$539,000 ","$725,000 ",74%,110.00%,107,90,119%,17,4.2
Cheltenham Township School District,"Montgomery, PA","$260,000 ","$350,000 ",74%,128.26%,73,65,112%,8,7
Malverne Union Free School District,"Nassau, NY","$445,000 ","$599,000 ",74%,225.00%,73,66,110%,7,6.7
Glenbard Twp Hsd 87 School District,"DuPage, IL","$260,000 ","$350,000 ",74%,120.51%,46,54,85%,-8,7.8
Dickinson Isd School District,"Galveston, TX","$200,000 ","$269,000 ",74%,95.65%,42,45,94%,-3,6.1
Helendale Elementary School District,"San Bernardino, CA","$219,000 ","$295,000 ",74%,87.50%,55,53,103%,2,5.5
Victor Valley Union High School District,"San Bernardino, CA","$219,000 ","$295,000 ",74%,66.67%,52,53,98%,-1,3.1
Ouray School District No. R-1 Of  The County Of Ouray And,"Ouray, CO","$445,000 ","$599,000 ",74%,257.14%,80,222,36%,-142,9
Wickliffe City School District,"Lake, OH","$115,000 ","$155,000 ",74%,62.77%,52,58,90%,-6,6.7
Glenpool School District,"Tulsa, OK","$159,000 ","$215,000 ",74%,87.50%,50,54,93%,-4,6.7
Woodridge Sd 68 School District,"DuPage, IL","$259,000 ","$350,000 ",74%,92.31%,48,54,89%,-6,9.5
Manchester School District,"Hillsborough, NH","$230,000 ","$310,000 ",74%,93.62%,46,53,87%,-7,3
Franklin County Com School Corporation,"Franklin, IN","$119,000 ","$160,000 ",74%,159.09%,79,79,100%,0,2
Crockett Isd School District,"Houston, TX","$127,000 ","$172,000 ",74%,100.00%,243,149,163%,94,4.1
Tiverton School District,"Newport, RI","$389,000 ","$525,000 ",74%,70.59%,66,69,96%,-3,7
Lubbock Isd School District,"Lubbock, TX","$140,000 ","$189,000 ",74%,91.67%,45,44,102%,1,5.1
Taunton School District,"Bristol, MA","$259,000 ","$350,000 ",74%,95.65%,52,55,95%,-3,4.6
Buena Park Elementary School District,"Orange, CA","$540,000 ","$730,000 ",74%,121.74%,31,42,74%,-11,6.6
North Babylon Union Free School District,"Suffolk, NY","$339,000 ","$458,000 ",74%,137.50%,70,68,102%,2,5
Cedar Hill Isd School District,"Dallas, TX","$205,000 ","$277,000 ",74%,131.34%,34,41,83%,-7,5
Vernon School District,"Tolland, CT","$185,000 ","$250,000 ",74%,94.87%,65,68,96%,-3,4.3
Farmington Public School District,"Oakland, MI","$270,000 ","$365,000 ",74%,141.33%,30,38,79%,-8,7.8
Otego-Unadilla Central School District,"Otsego, NY","$129,000 ","$174,000 ",74%,90.91%,78,93,84%,-15,6
Clinton School District,"Worcester, MA","$235,000 ","$318,000 ",74%,92.59%,39,55,71%,-16,3.7
Chichester School District,"Delaware, PA","$170,000 ","$230,000 ",74%,70.73%,94,72,131%,22,3.1
Batavia City School District,"Genesee, NY","$85,000 ","$115,000 ",74%,69.23%,58,38,153%,20,5
Essexville-Hampton Public School District,"Bay, MI","$77,000 ","$105,000 ",74%,94.12%,53,48,109%,5,7.5
Buckingham Co Pblc Schs School District,"Lynchburg city, VA","$133,000 ","$180,000 ",74%,66.67%,103,65,158%,38,4
New York City Geographic District # 1 School District,"New York, NY","$1,325,000 ","$1,795,000 ",74%,66.67%,47,47,100%,0,4.8
Johnston County School District,"Wake, NC","$240,000 ","$325,000 ",74%,105.80%,47,45,104%,2,6.6
Dennis Township School District,"Cape May, NJ","$244,000 ","$330,000 ",74%,60.71%,99,113,88%,-14,7
Oceanside Unified School District,"San Diego, CA","$509,000 ","$690,000 ",74%,132.26%,31,37,84%,-6,4.8
Paris Isd School District,"Lamar, TX","$110,000 ","$149,000 ",74%,90.48%,66,61,108%,5,5
Palisades Park School District,"Bergen, NJ","$449,000 ","$609,000 ",74%,31.58%,55,61,90%,-6,4.5
Merrillville Community School,"Lake, IN","$135,000 ","$183,000 ",74%,65.38%,65,62,105%,3,4.5
Pearce Elementary District School District,"Cochise, AZ","$115,000 ","$156,000 ",74%,27.27%,143,106,135%,37,5
Valley Union High School District,"Cochise, AZ","$115,000 ","$156,000 ",74%,36.36%,135,106,127%,29,5.4
Laredo Isd School District,"Webb, TX","$129,000 ","$175,000 ",74%,84.44%,67,69,98%,-2,3.1
Valley Park School District,"St. Louis, MO","$160,000 ","$217,000 ",74%,129.79%,51,48,106%,3,7
Ware School District,"Hampshire, MA","$210,000 ","$285,000 ",74%,85.00%,69,69,100%,0,3.3
Arlington Isd School District,"Dallas, TX","$204,000 ","$277,000 ",74%,120.90%,39,41,95%,-2,5.2
Garland Isd School District,"Dallas, TX","$204,000 ","$277,000 ",74%,127.61%,33,42,79%,-9,6.9
Rsu 06/Msad 06 School District,"Cumberland, ME","$257,000 ","$349,000 ",74%,75.00%,86,62,139%,24,6
Finneytown Local School District,"Hamilton, OH","$114,000 ","$155,000 ",74%,104.76%,59,58,102%,1,5.4
Fallsburg Central School District,"Sullivan, NY","$125,000 ","$170,000 ",74%,50.00%,89,101,88%,-12,3.5
Township Hsd 214 School District,"Lake, IL","$239,000 ","$325,000 ",74%,132.26%,46,57,81%,-11,7.3
Wheeling Ccsd 21 School District,"Lake, IL","$239,000 ","$325,000 ",74%,132.26%,46,57,81%,-11,7.3
Thomasville City School District,"Thomas, GA","$141,000 ","$192,000 ",74%,133.33%,100,110,91%,-10,3.1
Florence 03 School District,"Florence, SC","$125,000 ","$170,000 ",74%,89.29%,80,79,101%,1,3
Springfield School District,"Hampden, MA","$140,000 ","$190,000 ",74%,74.36%,55,62,89%,-7,2.6
Parma City School District,"Cuyahoga, OH","$117,000 ","$159,000 ",74%,108.14%,47,62,76%,-15,5.3
Jamesburg School District,"Middlesex, NJ","$250,000 ","$340,000 ",74%,75.00%,47,63,75%,-16,5
Judson Isd School District,"Bexar, TX","$169,000 ","$230,000 ",74%,66.04%,48,52,92%,-4,5.5
Wellsville Central School District,"Allegany, NY","$71,000 ","$97,000 ",73%,110.00%,122,115,106%,7,5.3
Robla Elementary School District,"Sacramento, CA","$235,000 ","$320,000 ",73%,52.27%,28,23,122%,5,4
Wakefield School District,"Carroll, NH","$205,000 ","$279,000 ",73%,120.00%,81,88,92%,-7,5
Berkeley Township School District,"Ocean, NJ","$235,000 ","$320,000 ",73%,100.00%,67,92,73%,-25,4.5
Kernville Union Elementary School District,"Kern, CA","$165,000 ","$225,000 ",73%,48.15%,102,58,176%,44,5
Robbinsdale Public School District,"Hennepin, MN","$220,000 ","$300,000 ",73%,95.83%,37,44,84%,-7,4.2
Bellmawr Borough School District,"Camden, NJ","$139,000 ","$189,000 ",73%,72.73%,74,79,94%,-5,4.1
M S D Steuben County School District,"Steuben, IN","$190,000 ","$259,000 ",73%,121.43%,75,85,88%,-10,6
Bremerton School District,"Kitsap, WA","$267,000 ","$365,000 ",73%,121.25%,24,34,71%,-10,5
Butts County School District,"Butts, GA","$148,000 ","$202,000 ",73%,77.55%,82,69,118%,13,5
Pea Ridge School District,"Benton, AR","$164,000 ","$224,000 ",73%,90.28%,37,61,61%,-24,7.7
Alcoa School District,"Blount, TN","$172,000 ","$235,000 ",73%,112.50%,69,69,100%,0,8.8
Murray Independent School District,"Calloway, KY","$130,000 ","$178,000 ",73%,122.73%,68,76,89%,-8,9.3
Hayward Unified School District,"Alameda, CA","$548,000 ","$749,000 ",73%,90.91%,34,31,110%,3,3.8
Bensenville Sd 2 School District,"DuPage, IL","$256,000 ","$350,000 ",73%,110.26%,50,54,93%,-4,5.8
Alice Isd School District,"Jim Wells, TX","$139,000 ","$190,000 ",73%,134.62%,120,122,99%,-2,3
Amesbury School District,"Essex, MA","$329,000 ","$450,000 ",73%,103.17%,48,45,107%,3,6
Wauconda Cusd 118 School District,"Lake, IL","$238,000 ","$325,000 ",73%,116.13%,60,57,105%,3,7.1
Hasbrouck Heights School District,"Bergen, NJ","$445,000 ","$609,000 ",73%,113.16%,69,61,112%,8,6.6
Putnam City School District,"Oklahoma, OK","$175,000 ","$239,000 ",73%,117.39%,47,53,89%,-6,5.5
Bellevue Ind School District,"Campbell, KY","$115,000 ","$157,000 ",73%,109.09%,52,61,85%,-9,3.5
Greenway Public School District,"Itasca, MN","$135,000 ","$185,000 ",73%,75.00%,95,82,116%,13,5
Northeastern Clinton Central School District,"Clinton, NY","$105,000 ","$144,000 ",73%,100.00%,82,83,99%,-1,6
Winnisquam Regional School District,"Belknap, NH","$199,000 ","$273,000 ",73%,125.00%,72,80,91%,-8,5
San Benito Cisd School District,"Cameron, TX","$145,000 ","$199,000 ",73%,152.38%,131,124,106%,7,4.5
Schuylerville Central School District,"Saratoga, NY","$218,000 ","$300,000 ",73%,163.33%,68,79,87%,-11,6
Dysart Unified District School District,"Maricopa, AZ","$236,000 ","$324,000 ",73%,114.29%,44,54,81%,-10,6.8
Lansingburgh Central School District,"Rensselaer, NY","$140,000 ","$192,000 ",73%,61.11%,79,76,103%,3,5
Plainfield School District,"Windham, CT","$160,000 ","$220,000 ",73%,76.92%,62,71,87%,-9,3
Pomona Unified School District,"Los Angeles, CA","$400,000 ","$550,000 ",73%,110.26%,48,46,104%,2,4
Cobb County School District,"Cherokee, GA","$205,000 ","$282,000 ",73%,113.04%,34,45,76%,-11,8
Alburg School District,"Grand Isle, VT","$200,000 ","$275,000 ",73%,56.25%,113,102,111%,11,4
North St Paul-Maplewood School Dist School District,"Washington, MN","$240,000 ","$330,000 ",73%,115.38%,37,45,82%,-8,6
Columbus City School District,"Franklin, OH","$138,000 ","$190,000 ",73%,76.40%,42,38,111%,4,3.1
Dryden Central School District,"Tompkins, NY","$185,000 ","$254,000 ",73%,107.69%,62,66,94%,-4,7
Berkley School District,"Oakland, MI","$265,000 ","$365,000 ",73%,198.67%,20,38,53%,-18,8.6
Bethel Sd 52 School District,"Lane, OR","$225,000 ","$310,000 ",73%,140.48%,22,46,48%,-24,6
Beech Grove City School District,"Marion, IN","$87,000 ","$120,000 ",73%,102.27%,51,59,87%,-8,5.5
Anaheim Union High School District,"Orange, CA","$529,000 ","$729,000 ",73%,93.48%,40,42,95%,-2,5.6
Omaha Public School District,"Douglas, NE","$173,000 ","$238,000 ",72%,104.55%,43,44,98%,-1,4
Garden City School District Of The City Of,"Wayne, MI","$100,000 ","$138,000 ",72%,89.84%,35,42,84%,-7,5
West Milford Township School District,"Passaic, NJ","$250,000 ","$345,000 ",72%,85.71%,74,58,128%,16,6
Boulder Valley School District No. Re2 School District,"Broomfield, CO","$420,000 ","$580,000 ",72%,127.78%,24,32,75%,-8,7.2
Delavan-Darien School District,"Walworth, WI","$199,000 ","$275,000 ",72%,84.21%,86,81,106%,5,3.1
Newport School District,"Sullivan, NH","$137,000 ","$190,000 ",72%,73.68%,100,92,108%,8,3
Cleveland Heights-University Heights City School District,"Cuyahoga, OH","$115,000 ","$159,000 ",72%,55.81%,75,62,121%,13,3.2
Sweetwater Union High School District,"San Diego, CA","$499,000 ","$690,000 ",72%,114.52%,28,37,76%,-9,6.8
Rio Elementary School District,"Ventura, CA","$433,000 ","$599,000 ",72%,95.92%,46,47,98%,-1,4.8
Dixie Elementary School District,"Marin, CA","$849,000 ","$1,175,000 ",72%,65.22%,39,37,105%,2,8.2
Benzie County Central School District,"Benzie, MI","$195,000 ","$270,000 ",72%,79.17%,86,88,98%,-2,7
Tuloso-Midway Isd School District,"Nueces, TX","$172,000 ","$239,000 ",72%,123.53%,66,75,88%,-9,5.4
Bristol School District,"Hartford, CT","$180,000 ","$250,000 ",72%,81.11%,58,61,95%,-3,5.2
Plainville School District,"Hartford, CT","$180,000 ","$250,000 ",72%,87.78%,60,61,98%,-1,7.1
Roselle Park School District,"Union, NJ","$230,000 ","$319,000 ",72%,100.00%,53,59,90%,-6,6
Fair Lawn School District,"Bergen, NJ","$439,000 ","$609,000 ",72%,152.63%,52,61,85%,-9,8
Ccsd 93 School District,"DuPage, IL","$252,000 ","$350,000 ",72%,126.92%,43,55,79%,-12,7.7
Bellevue Public School District,"Sarpy, NE","$185,000 ","$257,000 ",72%,114.29%,44,46,96%,-2,6
Middlesex Borough School District,"Middlesex, NJ","$245,000 ","$340,000 ",72%,120.83%,59,62,95%,-3,6.7
Lakeside Union Elementary School District,"San Diego, CA","$497,000 ","$690,000 ",72%,93.55%,40,37,108%,3,6.4
Ironton City School District,"Lawrence, OH","$90,000 ","$125,000 ",72%,75.68%,101,86,117%,15,6
Alton Cusd 11 School District,"Madison, IL","$90,000 ","$125,000 ",72%,67.50%,80,68,118%,12,2.9
Bedminster Township School District,"Somerset, NJ","$450,000 ","$625,000 ",72%,115.15%,58,69,84%,-11,7
Ashland School District,"Middlesex, MA","$400,000 ","$556,000 ",72%,98.36%,18,37,49%,-19,7.7
Lindenhurst Union Free School District,"Suffolk, NY","$329,000 ","$458,000 ",72%,143.75%,59,68,87%,-9,6.7
Milton-Union Exempted Village School District,"Miami, OH","$115,000 ","$160,000 ",72%,142.86%,55,60,92%,-5,5.7
Brewster Central School District,"Putnam, NY","$273,000 ","$379,000 ",72%,126.92%,74,74,101%,0,7
Anderson 02 School District,"Anderson, SC","$135,000 ","$188,000 ",72%,56.25%,129,70,184%,59,6
Shirley School District,"Van Buren, AR","$88,000 ","$122,000 ",72%,85.00%,115,114,100%,1,4
Public Schools Of Calumet School District,"Houghton, MI","$70,000 ","$97,000 ",72%,75.00%,104,89,117%,15,6.8
Gateway Regional School District,"Gloucester, NJ","$160,000 ","$222,000 ",72%,92.50%,104,82,127%,22,5.9
Middletown Area School District,"Dauphin, PA","$129,000 ","$180,000 ",72%,64.29%,79,73,108%,6,3.9
Baldwin Park Unified School District,"Los Angeles, CA","$395,000 ","$550,000 ",72%,105.13%,38,46,83%,-8,4.8
Carbondale Area School District,"Lackawanna, PA","$83,000 ","$115,000 ",72%,68.75%,100,95,105%,5,5
Santa Paula Elementary School District,"Ventura, CA","$430,000 ","$599,000 ",72%,124.49%,65,47,138%,18,6
Lesueur-Henderson School District,"Le Sueur, MN","$143,000 ","$200,000 ",72%,134.62%,65,66,98%,-1,4.5
